Title,Link,Upload Date,View Count
청주에 신상 분식 맛집이 떳다!! 100% 수제로 만드는 튀김에 쫀득쫀득 쌀 떡볶이 대존맛집 ,https://www.youtube.com/watch?v=ub1WfnpqXFc&pp=ygUJa29yZWFmb29k,7개월 전,조회수 3274만회
Lunch of ordinary office workers in korea 5 #mukbang #korea #seoul #koreafood #food,https://www.youtube.com/shorts/zRN-7UZcDfY,1년 전,조회수 5.4천회
Best KOREAN FOOD Tour Ever!! 33 Meals from Seoul to Busan! [Full Documentary],https://www.youtube.com/watch?v=RbpKkvlHYTw&pp=ygUJa29yZWFmb29k,1년 전,조회수 457만회
My lunch with Korean food #koreafood #viral #ម្ហូបកូរ៉េ#shorts,https://www.youtube.com/shorts/IEDqF_7cxG8,9개월 전,조회수 5천회
Best Ramen Recipe 🥵❤️😋 #food #koreafood #요리 #cooking #mukbang #ramen #recipe,https://www.youtube.com/shorts/vIwmsLVGguM,1년 전,조회수 1만회
Korea Foods #food #foodshorts #koreafood,https://www.youtube.com/shorts/MWb5SEJFc7A,2년 전,조회수 1.1만회
"Korean Street Food - EXTREME SEAFOOD + Must Eat Food in Busan, South Korea!! 🇰🇷",https://www.youtube.com/watch?v=1JIOAUEPYLQ&pp=ygUJa29yZWFmb29k,6일 전,조회수 138만회
What i ate for meals in Korea Part 160 🇰🇷 #Korea #lunch #KoreanFood #mukbang #Shorts,https://www.youtube.com/shorts/bYmyfutlirw,1년 전,조회수 2.7만회
Comment to Get a Gift #korea #koreanfood #lunchmenu,https://www.youtube.com/shorts/WGgzANsHQkg,1년 전,조회수 40만회
Korean shaved ice with red beans🥶,https://www.youtube.com/shorts/ODKFOxEr88A,1년 전,조회수 1.8만회
